,PERMCO,fyear,dlrsn
163,26174,2001,0.0
164,26174,2002,0.0
165,26174,2003,0.0
166,26174,2004,0.0
167,26174,2005,0.0
168,26174,2006,0.0
169,26174,2007,0.0
170,26174,2008,0.0
171,26174,2009,0.0
172,26174,2010,0.0
173,26174,2011,0.0
174,26174,2012,0.0
175,26174,2013,0.0
176,26174,2014,0.0
177,26174,2015,0.0
178,26174,2016,0.0
179,26174,2017,0.0
180,26174,2018,0.0
181,26174,2019,0.0
182,20030,2000,0.0
183,20030,2001,0.0
184,20030,2002,0.0
185,20030,2003,0.0
186,20030,2004,0.0
187,20030,2005,0.0
188,20030,2006,0.0
189,20030,2007,0.0
190,20030,2008,0.0
191,20030,2009,0.0
192,20030,2010,0.0
193,20030,2011,0.0
194,20030,2012,0.0
195,20030,2013,0.0
196,20030,2014,0.0
197,20030,2015,0.0
198,20030,2016,0.0
199,20030,2017,0.0
200,20030,2018,0.0
201,20030,2019,0.0
202,6977,2000,0.0
203,6977,2001,0.0
204,6977,2002,0.0
205,6977,2003,0.0
206,6977,2004,0.0
207,6977,2005,0.0
208,6977,2006,0.0
209,6977,2007,0.0
210,6977,2008,0.0
211,6977,2009,0.0
212,6977,2010,0.0
213,6977,2011,0.0
214,6977,2012,0.0
215,6977,2013,0.0
216,6977,2014,0.0
217,6977,2015,0.0
218,6977,2016,0.0
219,6977,2017,0.0
220,6977,2018,0.0
221,5348,2000,0.0
222,5348,2001,0.0
223,5348,2002,0.0
224,5348,2003,0.0
225,5348,2004,0.0
226,5348,2005,0.0
227,5348,2006,0.0
228,5348,2007,0.0
229,5348,2008,0.0
230,5348,2009,0.0
231,5348,2010,0.0
233,20035,2000,0.0
234,20035,2001,0.0
235,20035,2002,0.0
236,20035,2003,0.0
237,20035,2004,0.0
238,20035,2005,0.0
239,20035,2006,0.0
240,20035,2007,0.0
241,20035,2008,0.0
242,20035,2009,0.0
243,20035,2010,0.0
244,20035,2011,0.0
245,20035,2012,0.0
246,20035,2013,0.0
247,20035,2014,0.0
